name,number_of_seasons,vote_count,vote_average,popularity,network1,first_air_date,last_air_date,status,renewed,show_duration
A Perfect Day for Arsenide,1,4,5.75,2.147,Netflix,2020-11-12,2020-11-12,Ended,FALSE,0
Comedy Premium League,1,4,5,1.349,Netflix,2021-08-20,2021-08-27,Returning Series,TRUE,7
Clue Club,1,4,4,3.194,CBS,1976-08-14,1976-11-25,Ended,FALSE,103
Angel City,1,4,4.8,2.12,HBO,2023-05-16,2023-05-18,Ended,FALSE,2
E/R,1,4,6,6.98,CBS,1984-09-16,1985-02-27,Ended,FALSE,164
Bhaag Beanie Bhaag,1,4,6.2,2.752,Netflix,2020-12-04,2020-12-04,Ended,FALSE,0
The Dain Curse,1,4,6.2,1.965,CBS,1978-05-22,1978-05-24,Ended,FALSE,2
The Fastest,1,4,5.2,1.892,Netflix,2021-11-23,2021-11-23,Returning Series,TRUE,0
Who Is the Wolf?,14,4,4.2,26.632,Netflix,2017-02-18,2023-08-20,Returning Series,TRUE,2374
Dirty Dancing,1,4,7.75,4.28,CBS,1988-10-29,1989-01-14,Ended,FALSE,77
Category 6,1,4,9,1.191,CBS,2004-11-14,2004-11-17,Ended,FALSE,3
The Iron Horse,2,4,6.8,34.651,ABC,1966-09-12,1968-01-06,Ended,FALSE,481
Strange Luck,1,4,8.5,15.278,FOX,1995-09-15,1996-02-23,Ended,FALSE,161
The Early Show,11,4,7.2,67.848,CBS,1999-11-01,2011-08-25,Ended,FALSE,4315
Standup and Away! with Brian Regan,1,4,6.2,1.426,Netflix,2018-12-24,2018-12-24,Returning Series,TRUE,0
"Rich Man, Poor Man - Book II",1,4,8.5,31.282,ABC,1976-09-21,1977-03-08,Canceled,FALSE,168
Crime Scene Kitchen,2,4,9,3.447,FOX,2021-05-26,2023-08-14,Returning Series,TRUE,810
What the Love! with Karan Johar,1,4,5,1.74,Netflix,2020-01-30,2020-01-30,Returning Series,TRUE,0
Mighty Orbots,1,4,8.2,2.215,ABC,1984-09-08,1984-12-15,Ended,FALSE,98
There's... Johnny!,1,4,7,1.636,Hulu,2017-11-16,2017-11-16,Canceled,FALSE,0
Green Door,1,4,6.8,1.732,Netflix,2019-02-16,2019-03-16,Ended,FALSE,28
Freakshow,2,4,5.2,0.666,AMC,2013-02-14,2013-04-04,Canceled,FALSE,49
Reasonable Doubt: A Tale of Two Kidnappings,1,4,5.75,2.744,Netflix,2021-11-23,2021-11-23,Returning Series,TRUE,0
Sentosha: Battle Wheels,2,4,4.333,2.539,Prime Video,2017-10-06,2018-11-09,Returning Series,TRUE,399
Only for Love,1,4,7,2.258,Netflix,2022-09-21,2022-09-21,Canceled,FALSE,0
The Fabulous Lives of Bollywood Wives,2,4,4.5,3.195,Netflix,2020-11-27,2022-09-02,Returning Series,TRUE,644
Stars on Mars,1,4,7,5.376,FOX,2023-06-05,2023-08-28,Returning Series,TRUE,84
HILLarious,1,4,4.5,3.268,Prime Video,2023-02-09,2023-02-09,Ended,FALSE,0
Take 1,1,4,4.8,3.198,Netflix,2022-10-14,2022-10-14,Ended,FALSE,0
The Phoenix,2,4,6,11.532,FOX,2020-01-25,2021-01-06,Canceled,FALSE,347
Six Dreams,2,4,6.9,0.974,Prime Video,2018-07-27,2020-10-02,Returning Series,TRUE,798
"Oh, Grow Up",1,4,6.5,3.374,ABC,1999-09-22,1999-12-28,Ended,FALSE,97
Making Fun,1,4,5.8,1.572,Netflix,2022-03-04,2022-03-04,Returning Series,TRUE,0
Moby Dick and Mighty Mightor,1,4,4.75,100.787,CBS,1967-09-09,1968-01-06,Ended,FALSE,119
Endless Night,1,4,5.5,2.626,Netflix,2022-08-03,2022-08-03,Returning Series,TRUE,0
Bite Size Halloween,3,4,7.8,19.062,Hulu,2020-10-01,2022-10-01,Returning Series,TRUE,730
Tales of Tomorrow,2,4,5.8,96.871,ABC,1951-08-03,1953-06-12,Ended,FALSE,679
N.Y.P.D.,2,4,5.5,68.533,ABC,1967-09-05,1969-03-25,Ended,FALSE,567
LIGHTHOUSE,1,4,8,4.239,Netflix,2023-08-22,2023-08-22,Returning Series,TRUE,0
RocketJump: The Show,1,4,6,3.328,Hulu,2015-12-02,2016-01-12,Ended,FALSE,41
Paper Moon,1,4,6,5.488,ABC,1974-09-12,1974-12-19,Ended,FALSE,98
It's the Wolf,2,4,6,4.036,ABC,1969-09-20,1970-11-14,Ended,FALSE,420
Farm Rebellion,1,4,7.5,3.792,Disney+,2023-06-14,2023-06-14,Ended,FALSE,0
RapCaviar Presents,1,4,7.5,3.964,Hulu,2023-03-30,2023-03-30,Returning Series,TRUE,0
Happy Jail,1,4,6.75,1.575,Netflix,2019-08-14,2019-08-14,Returning Series,TRUE,0
Napoleon and Josephine: A Love Story,1,4,6.8,1.966,ABC,1987-11-10,1987-11-12,Ended,FALSE,2
Celebrity Jeopardy!,2,4,5.8,31.591,ABC,2022-09-25,2023-09-27,Returning Series,TRUE,367
Spellbound,2,4,9,14.414,Hulu,2023-08-31,2023-08-31,Returning Series,TRUE,0
10-8: Officers on Duty,1,4,9.4,8.056,ABC,2003-09-28,2004-02-01,Ended,FALSE,126
Crossings,1,4,5.8,4.143,ABC,1986-02-23,1986-02-25,Ended,FALSE,2
The Gene Autry Show,5,4,4.8,86.724,CBS,1950-07-23,1955-12-24,Ended,FALSE,1980
Goober and the Ghost Chasers,1,4,5.5,16.132,ABC,1973-09-08,1973-12-22,Ended,FALSE,105
Ryan's Hope,1,4,6.6,1.029,ABC,1975-07-07,1981-11-16,Ended,FALSE,2324
Nailed It! France,1,4,6,2.455,Netflix,2019-10-25,2019-10-25,Ended,FALSE,0
Pitta Kathalu,1,4,4.5,4.612,Netflix,2021-02-19,2021-02-19,Ended,FALSE,0
Bestseller,1,4,5.2,2.764,Prime Video,2022-02-18,2022-02-18,Ended,FALSE,0
Ten Percent,1,4,5.2,3.666,Prime Video,2022-04-28,2022-04-28,Canceled,FALSE,0
Border Security: America's Front Line,2,4,8,1.086,ABC,2016-01-10,2019-03-08,Ended,FALSE,1153
"Mylène Farmer, l’Ultime Création",1,4,6.2,2.257,Prime Video,2020-09-25,2020-09-25,Ended,FALSE,0
Where Is Private Dulaney?,1,4,7.2,2.099,Hulu,2022-11-16,2022-11-16,Ended,FALSE,0
Bir Peri Masalı,1,4,7.5,4.23,FOX,2022-09-28,2022-12-27,Ended,FALSE,90
Academy of Country Music Awards,58,4,4.5,3.995,ABC,1966-01-01,2023-05-11,Returning Series,TRUE,20949
@Gina Yei: #WithAllMyHeartAndMore,1,4,7.25,2.756,Disney+,2023-01-11,2023-01-11,Canceled,FALSE,0
A2Z,1,4,5.2,4.238,Prime Video,2023-02-03,2023-02-03,Ended,FALSE,0
I'll Take Manhattan,1,4,4.75,1.96,CBS,1987-03-01,1987-03-03,Ended,FALSE,2
Annie Oakley,3,4,6.4,34.786,CBS,1954-01-09,1957-02-24,Ended,FALSE,1142
Crime Stories: India Detectives,1,4,5.75,1.075,Netflix,2021-09-22,2021-09-22,Ended,FALSE,0
Garrison's Gorillas,1,4,7.6,31.328,ABC,1967-09-06,1968-03-12,Ended,FALSE,188
My Big Fat Greek Life,1,4,5.8,3.73,CBS,2003-02-24,2003-04-13,Canceled,FALSE,48
The Doris Day Show,5,4,4.2,137.9,CBS,1968-09-24,1973-03-12,Ended,FALSE,1630
Shane,1,4,6,5.234,ABC,1966-09-10,1966-12-31,Ended,FALSE,112
Seen,2,4,7.5,0.84,Netflix,2021-04-13,2023-04-21,Ended,FALSE,738
Shaft,1,4,6.5,1.294,CBS,1973-10-09,1974-02-19,Ended,FALSE,133
"PSG City of Lights, 50 years of legend",2,4,5.8,1.449,Prime Video,2020-09-15,2021-09-10,Returning Series,TRUE,360
Who Killed Jill Dando?,1,4,7.5,24.022,Netflix,2023-09-26,2023-09-26,Ended,FALSE,0
Four Star Playhouse,4,4,5.75,147.584,CBS,1952-09-25,1956-07-26,Ended,FALSE,1400
Pig: The Dam Keeper Poems,1,4,7,0.79,Hulu,2017-08-04,2017-10-06,Ended,FALSE,63
Rogue Trip,1,4,6.5,0.953,Disney+,2020-07-24,2020-08-28,Canceled,FALSE,35
Backstage with Katherine Ryan,1,4,5.2,3.081,Prime Video,2022-06-09,2022-06-09,Ended,FALSE,0
Jee Karda,1,4,8.25,4.161,Prime Video,2023-06-15,2023-06-15,Ended,FALSE,0
The Newlywed Game,2,4,4.8,131.671,ABC,1966-07-11,1967-07-22,Ended,FALSE,376
The Big Nailed It Baking Challenge,1,4,8.2,3.9,Netflix,2023-08-04,2023-08-04,Returning Series,TRUE,0
Dino Girl Gauko,2,4,7.2,3.401,Netflix,2019-11-22,2020-03-20,Returning Series,TRUE,119
Til Death Do Us Part,1,4,7,1.978,Netflix,2019-08-15,2019-08-15,Ended,FALSE,0
We Speak Dance,1,4,6.8,1.165,Netflix,2018-01-01,2018-01-01,Returning Series,TRUE,0
Dog City,3,4,7,5.834,FOX,1992-09-26,1994-11-26,Ended,FALSE,791
World of Quest,2,4,8.667,21.956,The CW,2008-03-15,2008-03-15,Ended,FALSE,0
Game On!,1,4,9,2.76,CBS,2020-05-27,2020-07-15,Returning Series,TRUE,49
Electra Woman and Dyna Girl,1,4,6.25,12.04,ABC,1976-09-11,1976-12-25,Ended,FALSE,105
The Judgement,1,4,6.2,1.682,Netflix,2018-08-09,2018-11-01,Ended,FALSE,84
The New Yorker Presents,1,4,7.8,2.471,Prime Video,2016-02-16,2016-04-12,Ended,FALSE,56
The Mystic Knights of Tir Na Nog,1,4,7.5,48.335,FOX,1998-09-12,1999-05-07,Ended,FALSE,237
Drive Hard: The Maloof Way,1,4,7.2,4.69,Netflix,2022-08-26,2022-08-26,Returning Series,TRUE,0
Mormon No More,1,4,6.2,2.618,Hulu,2022-06-24,2022-06-24,Ended,FALSE,0
I'll Give You A Secret,1,4,7,9.906,FOX,2013-07-05,2013-11-29,Ended,FALSE,147
Gabriel's Fire,1,4,6.333,24.378,ABC,1990-09-12,1991-06-06,Ended,FALSE,267
GAME OF SPY,1,4,5.2,1.757,Prime Video,2022-06-24,2022-07-15,Ended,FALSE,21
Haken no Hinkaku,2,4,7,7.652,Hulu,2007-01-10,2020-08-05,Ended,FALSE,4956
Work It,1,4,4.2,3.049,ABC,2012-01-03,2012-01-10,Canceled,FALSE,7
Charlie's Colorforms City,4,4,6.8,22.877,Netflix,2019-03-22,2019-03-22,Returning Series,TRUE,0
Dr. Vegas,1,4,4.5,2.24,CBS,2004-09-24,2004-10-29,Ended,FALSE,35
Joko Winterscheidt Presents: The World's Most Dangerous Show,1,4,5.75,2.651,Prime Video,2023-06-06,2023-06-06,Returning Series,TRUE,0
The Edge of Night,6,4,6,26.074,CBS,1956-04-02,1984-12-28,Ended,FALSE,10497
Gordon Ramsay's Food Stars,1,4,9,2.578,FOX,2023-05-24,2023-08-16,Returning Series,TRUE,84
Life on a Stick,1,4,4.5,2.712,FOX,2005-03-24,2005-04-27,Ended,FALSE,34
The Con,2,4,5.5,1.887,ABC,2020-10-14,2022-09-08,Returning Series,TRUE,694
Crash Course,1,4,5,3.421,Prime Video,2022-08-05,2022-08-05,Returning Series,TRUE,0
A Man Called Shenandoah,1,4,6.5,5.565,ABC,1965-09-13,1966-02-14,Ended,FALSE,154
Demon's Path,1,4,5,0.997,Netflix,2018-08-11,2018-11-03,Ended,FALSE,84
Children of the Dust,1,4,6.8,4.717,CBS,1995-02-26,1995-02-28,Ended,FALSE,2
Malibu Country,1,4,6,9.565,ABC,2012-11-02,2013-03-22,Canceled,FALSE,140
The Beatles,3,4,6.2,4.103,ABC,1965-09-25,1967-10-21,Ended,FALSE,756
ABC World News,30,4,7,2.072,ABC,1948-08-11,2021-12-31,Returning Series,TRUE,26805
Lov3,1,4,6.4,2.782,Prime Video,2022-02-18,2022-02-18,Returning Series,TRUE,0
Sergeant Preston of the Yukon,3,4,5.75,33.934,CBS,1955-09-29,1958-02-27,Ended,FALSE,882
Mr. & Mrs. North,2,4,5.75,82.226,CBS,1952-10-03,1954-05-18,Ended,FALSE,592
Heroes: Legend of Battle Disks,1,4,7,6.219,Netflix,2015-07-15,2016-01-06,Ended,FALSE,175
Gamebros,1,4,6.2,1.361,Netflix,2018-05-20,2018-05-20,Returning Series,TRUE,0
Who Do You Believe?,1,4,5.8,1.64,ABC,2022-05-03,2022-07-12,Returning Series,TRUE,70
Candy Crush,1,4,4.6,1.955,CBS,2017-07-09,2017-09-02,Canceled,FALSE,55
LOL: Last One Laughing Canada,1,4,5.9,3.015,Prime Video,2022-02-18,2022-03-04,Returning Series,TRUE,14
Olóládé,1,4,8,19.566,Netflix,2023-11-24,2023-11-24,Ended,FALSE,0
Nailed It! Germany,1,3,7.3,1.469,Netflix,2020-01-17,2020-01-17,Ended,FALSE,0
11 Shots,1,3,6.7,1.4,HBO,2022-09-25,2022-12-04,Returning Series,TRUE,70
Back on the Record with Bob Costas,2,3,4.7,2.621,HBO,2021-07-30,2022-11-11,Canceled,FALSE,469
Billboard Music Awards,9,3,10,60.092,ABC,1989-05-01,2022-05-15,Returning Series,TRUE,12067
Amanda's,1,3,6.667,1.633,ABC,1983-02-10,1983-05-26,Ended,FALSE,105
Nabilla : Sans filtre,1,3,2.7,1.141,Prime Video,2021-11-26,2021-11-26,Ended,FALSE,0
Windy City Live,6,3,2.7,1.897,ABC,2011-05-26,2016-09-16,Returning Series,TRUE,1940
Once a Hero,1,3,8.7,0.6,ABC,1987-09-19,1987-09-19,Ended,FALSE,0
Dane Cook's Tourgasm,1,3,2.7,1.33,HBO,2006-06-11,2006-08-04,Ended,FALSE,54
Mayberry R.F.D.,3,3,5.7,117.239,CBS,1968-09-23,1971-03-29,Ended,FALSE,917
Alter Ego,1,3,5.3,5.138,FOX,2021-09-22,2021-12-08,Returning Series,TRUE,77
Good Rivals,1,3,5.7,1.508,Prime Video,2022-11-23,2022-11-30,Returning Series,TRUE,7
Mr. Lucky,1,3,7,26.559,CBS,1959-10-24,1960-06-18,Ended,FALSE,238
Free Meek,1,3,6.667,1.891,Prime Video,2019-08-09,2019-08-09,Ended,FALSE,0
Some of My Best Friends,1,3,6.3,2.518,CBS,2001-02-28,2001-04-25,Ended,FALSE,56
Bling Empire: New York,1,3,7.8,3.429,Netflix,2023-01-20,2023-01-20,Canceled,FALSE,0
Byron Baes,1,3,3,1.45,Netflix,2022-03-09,2022-03-09,Returning Series,TRUE,0
Scruples,1,3,5.7,1.874,CBS,1980-02-25,1980-02-27,Ended,FALSE,2
Lovestruck High,1,3,3.3,2.369,Prime Video,2022-05-17,2022-05-31,Returning Series,TRUE,14
Generation Gap,2,3,6,7.145,ABC,2022-07-07,2023-09-21,Returning Series,TRUE,441
Phat Tuesdays: The Era of Hip Hop Comedy,1,3,6,3.12,Prime Video,2022-02-03,2022-02-03,Ended,FALSE,0
The Twins of Destiny,1,3,7.3,4.322,ABC,1991-11-13,1993-04-09,Ended,FALSE,513
Paper Dolls,1,3,5.3,4.648,ABC,1984-09-23,1984-12-25,Ended,FALSE,93
Person to Person,4,3,8,3.35,CBS,1953-10-02,2012-02-08,Ended,FALSE,21313
The Adventures of Jim Bowie,2,3,3.7,85.849,ABC,1956-09-07,1958-05-23,Ended,FALSE,623
Sue Perkins: Perfectly Legal,1,3,2.8,3.13,Netflix,2022-10-13,2022-10-13,Returning Series,TRUE,0
Groovie Goolies,1,3,7.3,4.569,CBS,1970-09-12,1970-12-26,Ended,FALSE,105
Word Party Songs,1,3,7.3,2.297,Netflix,2020-08-07,2020-08-07,Returning Series,TRUE,0
Gun,1,3,5,2.494,ABC,1997-04-12,1997-05-31,Ended,FALSE,49
The Travels of Jaimie McPheeters,1,3,5.3,14.963,ABC,1963-09-29,1964-03-15,Ended,FALSE,168
The Rebels,1,3,6,1.871,Prime Video,2014-02-06,2014-02-06,Canceled,FALSE,0
The Glen Campbell Goodtime Hour,4,3,5.7,96.765,CBS,1969-01-22,1972-03-21,Ended,FALSE,1154
My Living Doll,1,3,6.3,0.6,CBS,1964-09-27,1964-11-01,Ended,FALSE,35
The Adventures of Raggedy Ann and Andy,1,3,8.7,1.926,CBS,1988-09-17,1990-09-01,Ended,FALSE,714
Pauly,1,3,2.333,2.082,FOX,1997-03-03,1997-04-07,Ended,FALSE,35
Wanda at Large,2,3,8.7,2.411,FOX,2003-03-26,2003-11-07,Ended,FALSE,226
Regular Heroes,1,3,4.3,1.961,Prime Video,2020-05-08,2020-07-03,Returning Series,TRUE,56
The Slap Maxwell Story,1,3,4.3,9.878,ABC,1987-09-23,1988-05-20,Ended,FALSE,240
Hush Hush,1,3,4.7,3.819,Prime Video,2022-09-22,2022-09-22,Returning Series,TRUE,0
The Family That Sings Together: The Camargos,1,3,6.333,1.4,Netflix,2021-12-09,2021-12-09,Returning Series,TRUE,0
Time Enna Boss!?,1,3,5.7,2.625,Prime Video,2020-09-18,2020-09-18,Ended,FALSE,0
Fresno,1,3,6.8,2.907,CBS,1986-11-16,1986-11-20,Ended,FALSE,4
The Johnny Cash Show,2,3,6,97.612,ABC,1969-06-07,1971-03-31,Ended,FALSE,662
A Kid Called Mayonnaise,1,3,6.7,1.586,Prime Video,2017-09-01,2017-09-01,Pilot,FALSE,0
My Love: Six Stories of True Love,1,3,5.7,2.239,Netflix,2021-04-13,2021-04-13,Ended,FALSE,0
Hawkins,1,3,7.7,6.087,CBS,1973-03-13,1974-03-05,Ended,FALSE,357
America Undercover,1,3,6.3,1.802,HBO,2003-06-05,2004-04-14,Canceled,FALSE,314
The Alzheimer's Project,1,3,4.7,1.4,HBO,2009-05-10,2009-05-11,Ended,FALSE,1
The Parent Test,1,3,7,1.675,ABC,2022-12-15,2023-03-02,Returning Series,TRUE,77
Searching for Soul Food,1,3,6,1.982,Hulu,2023-06-02,2023-06-02,Returning Series,TRUE,0
Redefined: J.R. Smith,1,3,5.7,2.362,Prime Video,2023-04-03,2023-04-03,Returning Series,TRUE,0
The Swan,2,3,2,1.043,FOX,2004-04-07,2004-12-20,Ended,FALSE,257
Custer,1,3,5.7,12.48,ABC,1967-09-06,1967-12-20,Ended,FALSE,105
Umuda Kelepçe Vurulmaz,1,3,6,1.71,FOX,2016-11-03,2017-02-09,Ended,FALSE,98
King of Collectibles: The Goldin Touch,1,3,6,3.058,Netflix,2023-04-28,2023-04-28,Returning Series,TRUE,0
Real Madrid: The White Legend,1,3,5.3,3.619,Prime Video,2022-02-11,2022-02-11,Ended,FALSE,0
Jestination Unknown,1,3,6,1.539,Prime Video,2019-10-18,2019-10-18,Returning Series,TRUE,0
Cook at all Costs,1,3,5,1.69,Netflix,2022-12-16,2022-12-16,Returning Series,TRUE,0
The Chef in a Truck,1,3,6.7,0.79,Netflix,2020-06-10,2020-06-10,Returning Series,TRUE,0
"Normal, Ohio",1,3,6.7,3.067,FOX,2000-11-01,2000-12-13,Ended,FALSE,42
Thea,1,3,8,10.915,ABC,1993-09-03,1994-02-19,Ended,FALSE,169
Courting Alex,1,3,5.3,2.699,CBS,2006-01-23,2006-08-28,Ended,FALSE,217
Bearcats!,1,3,6,4.723,CBS,1971-09-16,1971-12-30,Ended,FALSE,105
The Dating Game,2,3,4.3,72.969,ABC,1965-12-20,1966-12-07,Ended,FALSE,352
Sex Diaries,1,3,4,1.096,HBO,2022-12-16,2022-12-23,Returning Series,TRUE,7
Just for Laughs,3,3,7.3,5.043,ABC,2007-07-17,2009-08-30,Ended,FALSE,775
The Flintstone Comedy Hour,1,3,8,10.912,CBS,1972-09-09,1973-01-06,Ended,FALSE,119
Rennervations,1,3,6.7,3.489,Disney+,2023-04-12,2023-05-03,Returning Series,TRUE,21
ABC Stage 67,1,3,5.3,36.841,ABC,1966-09-14,1967-05-03,Returning Series,TRUE,231
9 to 5,5,3,5.667,81.106,ABC,1982-03-25,1988-03-26,Ended,FALSE,2193
High Mountain Rangers,1,3,8,2.306,CBS,1988-01-02,1988-04-09,Ended,FALSE,98
Miss Universe,1,3,6,14.987,FOX,1960-07-09,2019-12-08,Returning Series,TRUE,21701
Harts of the West,1,3,6.7,3.685,CBS,1993-09-25,1994-06-18,Ended,FALSE,266
Room for Two,2,3,9,16.967,ABC,1992-03-24,1993-07-06,Ended,FALSE,469
Trading Spouses,3,3,4.7,0.804,FOX,2004-07-01,2007-05-03,Ended,FALSE,1036
Baby Talk,2,3,7,1.372,ABC,1991-03-08,1992-05-08,Canceled,FALSE,427
The Hat Squad,1,3,7.333,3.029,CBS,1992-09-16,1993-01-23,Ended,FALSE,129
My Sister Sam,2,3,6.7,43.743,CBS,1986-10-06,1988-04-12,Canceled,FALSE,554
Singapore Social,1,3,6,1.4,Netflix,2019-11-22,2019-11-22,Returning Series,TRUE,0
Bob,2,3,7.7,2.027,CBS,1992-09-18,1997-03-23,Ended,FALSE,1647
Miss USA,1,3,6.333,26.543,FOX,1965-06-04,2023-09-29,Ended,FALSE,21301
Figaro Pho,1,3,7.3,1.296,ABC,2009-04-07,2009-04-07,Ended,FALSE,0
On Our Own,1,3,6,23.93,ABC,1994-09-13,1997-03-24,Ended,FALSE,923
The Three Detectives,1,3,7.5,9.02,Disney+,2023-09-06,2023-09-06,Returning Series,TRUE,0
Enigma,1,3,7.167,2.918,Prime Video,2023-07-15,2023-08-05,Ended,FALSE,21
The New V.I.P.'s,1,3,6,1.487,Prime Video,2017-03-17,2017-03-17,Pilot,FALSE,0
Little Dracula,2,3,9,1.606,FOX,1991-09-03,1999-10-02,Ended,FALSE,2951
Christine Cromwell,1,3,7.3,2.047,ABC,1989-11-11,1990-02-17,Ended,FALSE,98
Bronk,1,3,6.7,12.517,CBS,1975-04-17,1976-03-28,Ended,FALSE,346
Bild.Macht.Deutschland?,1,3,5.3,1.068,Prime Video,2020-12-18,2020-12-18,Ended,FALSE,0
Battleground,1,3,9.3,1.053,Hulu,2012-02-14,2012-05-08,Ended,FALSE,84
Estocolmo,1,3,4.7,1.4,Netflix,2016-11-11,2016-11-11,Ended,FALSE,0
Stoney Burke,1,3,5.7,5.812,ABC,1962-10-01,1963-05-20,Ended,FALSE,231
Life with Bonnie,2,3,6.7,24.187,ABC,2002-09-17,2004-04-09,Ended,FALSE,570
Hole in the Wall,1,3,5.3,3.342,FOX,2008-09-07,2009-03-15,Ended,FALSE,189
Crumbs,1,3,5.7,2.531,ABC,2006-01-12,2006-02-07,Ended,FALSE,26
Zorro and Son,1,3,5,2.01,CBS,1983-04-06,1983-06-01,Ended,FALSE,56
Playing It Straight,1,3,4,1.658,FOX,2004-03-12,2004-03-26,Canceled,FALSE,14
Head Above Water,1,3,5.3,1.384,Prime Video,2021-06-04,2021-06-04,Returning Series,TRUE,0
"Lancelot Link, Secret Chimp",1,3,6.667,10.391,ABC,1970-01-01,1970-01-01,Ended,FALSE,0
Growing Up Animal,1,3,6.333,2.447,Disney+,2021-08-18,2021-08-18,Ended,FALSE,0
Bronco,4,3,5.7,12.028,ABC,1958-09-23,1962-04-30,Ended,FALSE,1315
Gülcemal,1,3,9,43.729,FOX,2023-04-06,2023-07-06,Canceled,FALSE,91
Varane: Destin de Champion,1,3,6.7,1.089,Prime Video,2019-09-23,2019-09-23,Ended,FALSE,0
Washington: Behind Closed Doors,1,3,7.3,2.294,ABC,1977-09-06,1977-09-11,Ended,FALSE,5
The Benza,2,3,7.3,1.335,Prime Video,2019-04-10,2022-03-07,Returning Series,TRUE,1062
Inspector Rishi,1,3,6.3,30.336,Prime Video,2024-03-29,2024-03-29,Returning Series,TRUE,0
ARA San Juan: The Submarine that Disappeared,1,3,7.3,22.989,Netflix,2024-03-07,2024-03-07,Ended,FALSE,0
Di-Gata Defenders,2,3,7.3,11.672,FOX,2006-08-12,2008-07-06,Ended,FALSE,694
Black Saddle,2,3,5.7,15.745,ABC,1959-01-10,1960-05-04,Ended,FALSE,480
Camarón Revolution,1,3,3.7,1.4,Netflix,2018-07-16,2018-07-16,Ended,FALSE,0
Broken Arrow,2,3,5,11.558,ABC,1956-09-25,1958-06-24,Ended,FALSE,637
Skin Decision: Before and After,1,3,6,3.578,Netflix,2020-07-15,2020-07-15,Canceled,FALSE,0
The Monroes,1,3,5.7,28.272,ABC,1966-09-07,1967-03-15,Ended,FALSE,189
Benza English,1,3,7.3,2.2,Prime Video,2020-04-16,2020-12-30,Returning Series,TRUE,258
Bachelor Father,5,3,6,13.132,CBS,1957-09-15,1962-06-26,Ended,FALSE,1745
Cavalcade of America,5,3,4,227.223,ABC,1952-10-01,1957-04-30,Ended,FALSE,1672
Krapopolis,1,3,6.3,43.41,FOX,2023-09-24,2023-10-01,Returning Series,TRUE,7
Hammerman,1,3,4.333,3.163,ABC,1991-09-07,1991-12-07,Ended,FALSE,91
The Dakotas,1,3,5.7,4.796,ABC,1963-01-07,1963-05-13,Ended,FALSE,126
Ohara,2,3,7,4.496,ABC,1987-01-17,1988-05-07,Ended,FALSE,476
"Love, Life & Everything in Between",1,3,4.667,3.949,Netflix,2022-03-10,2022-03-10,Ended,FALSE,0
Fearless: The Inside Story of the AFLW,1,3,6.3,1.694,Disney+,2022-08-24,2022-09-28,Ended,FALSE,35
The Moth Effect,1,3,3.3,12.223,Prime Video,2021-07-30,2021-09-03,Returning Series,TRUE,35
The George Carlin Show,2,3,7.7,3.855,FOX,1994-01-16,1995-07-16,Ended,FALSE,546
Million Dollar Island,2,3,5.7,4.339,Prime Video,2022-03-06,2023-06-25,Returning Series,TRUE,476
The New Adventures of Gilligan,2,3,4.3,32.634,ABC,1974-09-07,1975-10-18,Ended,FALSE,406
Big Day,1,3,6.3,5.691,ABC,2006-11-28,2007-01-30,Ended,FALSE,63
"Push, Nevada",1,3,5.2,1.342,ABC,2002-09-17,2002-10-24,Canceled,FALSE,37
Life Is Wild,1,3,7.333,2.187,The CW,2007-10-07,2008-02-03,Canceled,FALSE,119
Conan and the Young Warriors,1,3,8.7,1.4,CBS,1994-03-05,1994-05-21,Ended,FALSE,77
Cricket Fever: Mumbai Indians,1,3,6.7,2.229,Netflix,2019-03-01,2019-03-01,Ended,FALSE,0
Soul of a Nation,1,3,4.3,2.204,ABC,2021-03-02,2021-04-06,Ended,FALSE,35
Dreams,1,3,8.3,6.408,CBS,1984-10-03,1984-10-31,Ended,FALSE,28
Ultimate Beastmaster France,1,3,6.3,0.724,Netflix,2017-12-31,2018-03-04,Returning Series,TRUE,63
Buddies,1,3,4.667,1.38,ABC,1996-03-05,1996-04-03,Ended,FALSE,29
Life with Lucy,1,3,8.3,4.34,ABC,1986-09-20,1986-11-15,Canceled,FALSE,56
The Dirty Dozen,1,3,7.3,4.246,FOX,1988-04-30,1988-06-25,Canceled,FALSE,56
ひ～！ひ～！ふ～！,1,3,6.7,1.107,Prime Video,2023-01-26,2023-01-26,Returning Series,TRUE,0
Van-pires,1,3,9.7,1.449,FOX,1997-09-14,1997-12-07,Ended,FALSE,84
In the Flow with Affion Crockett,1,3,1,0.646,FOX,2011-08-14,2011-09-11,Ended,FALSE,28
Seven Brides for Seven Brothers,1,3,7.3,26.478,CBS,1982-09-19,1983-03-23,Ended,FALSE,185
The Apprentice: ONE Championship Edition,1,3,7.3,2.916,Netflix,2021-03-18,2021-06-10,Returning Series,TRUE,84
Chillin Island,1,3,4,1.08,HBO,2021-12-17,2022-01-28,Returning Series,TRUE,42
Ladies Man,2,3,6.3,7.913,CBS,1999-09-20,2001-06-27,Ended,FALSE,646
Black and Missing,1,3,4.3,1.947,HBO,2021-11-23,2021-11-24,Ended,FALSE,1
Falling in Love Like a Romantic Drama,3,3,7.3,1.889,Netflix,2018-05-26,2019-07-27,Returning Series,TRUE,427
Forever Summer: Hamptons,1,3,2.7,1.907,Prime Video,2022-07-14,2022-07-14,Returning Series,TRUE,0
That One Word - Feyenoord,1,3,6.3,2.218,Disney+,2021-09-01,2021-10-27,Ended,FALSE,56
